ip.src,ip.dst,ip.proto,eth.src,eth.dst,ipv6.src,ipv6.dst,ip.ttl,ip.id,ip.hdr_len,ip.len,ip.flags.df,tcp.stream,tcp.time_delta,tcp.time_relative,tcp.analysis.initial_rtt,tcp.flags,tcp.window_size_value,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,udp.stream,udp.length,icmp.length,http.request.method,http.response.code,http.content_length,ip.ttl
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4123,20,52,1,27,0.000000000,0.000000000,,0x0002,64240,32,0,60520,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10a,20,40,0,21,0.000000000,0.000459000,,0x0014,14600,20,0,80,59276,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4123,20,52,1,27,0.000000000,0.000000000,,0x0002,64240,32,0,60520,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd108,20,40,0,20,0.000482000,0.000482000,0.000482000,0x0014,14600,20,0,80,59280,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd108,20,40,0,20,0.000000000,0.000482000,,0x0014,14600,20,0,80,59280,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10b,20,40,0,23,0.000396000,0.000396000,0.000396000,0x0014,14600,20,0,80,59282,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd109,20,40,0,18,0.000511000,0.000511000,0.000511000,0x0014,14600,20,0,80,59285,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10b,20,40,0,23,0.000000000,0.000396000,,0x0014,14600,20,0,80,59282,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd109,20,40,0,18,0.000000000,0.000511000,,0x0014,14600,20,0,80,59285,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10c,20,40,0,22,0.000547000,0.000547000,0.000547000,0x0014,14600,20,0,80,59290,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10c,20,40,0,22,0.000000000,0.000547000,,0x0014,14600,20,0,80,59290,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10d,20,40,0,24,0.000616000,0.000616000,0.000616000,0x0014,14600,20,0,80,59287,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10d,20,40,0,24,0.000000000,0.000616000,,0x0014,14600,20,0,80,59287,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10f,20,40,0,26,0.000504000,0.000504000,0.000504000,0x0014,14600,20,0,80,59295,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10f,20,40,0,26,0.000000000,0.000504000,,0x0014,14600,20,0,80,59295,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd110,20,40,0,27,0.000274000,0.000274000,0.000274000,0x0014,14600,20,0,80,60520,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd110,20,40,0,27,0.000000000,0.000274000,,0x0014,14600,20,0,80,60520,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4124,20,52,1,28,0.000000000,0.000000000,,0x0002,64240,32,0,59296,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4124,20,52,1,28,0.000000000,0.000000000,,0x0002,64240,32,0,59296,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4125,20,52,1,29,0.000000000,0.000000000,,0x0002,64240,32,0,57632,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4125,20,52,1,29,0.000000000,0.000000000,,0x0002,64240,32,0,57632,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10e,20,40,0,25,0.000588000,0.000588000,0.000588000,0x0014,14600,20,0,80,59288,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd10e,20,40,0,25,0.000000000,0.000588000,,0x0014,14600,20,0,80,59288,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4127,20,52,1,30,0.000000000,0.000000000,,0x0002,64240,32,0,59297,80,,,,,,,,,128
